Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
20;4;1 do 10 000;3;0.0135
20;5;1 do 10 000;3;0.0149
20;1;1 do 10 000 000;3;0.0137
20;2;1 do 10 000 000;3;0.0155
20;3;1 do 10 000 000;3;0.0141
20;4;1 do 10 000 000;3;0.0137
20;5;1 do 10 000 000;3;0.0136
21;1;1 do 10;3;0.0149
21;2;1 do 10;3;0.0135
21;3;1 do 10;3;0.0137
21;4;1 do 10;3;0.0132
21;5;1 do 10;3;0.0135
21;1;1 do 10 000;3;0.0141
21;2;1 do 10 000;3;0.0133
21;3;1 do 10 000;3;0.0138
21;4;1 do 10 000;3;0.0135
21;5;1 do 10 000;3;0.0134
21;1;1 do 10 000 000;3;0.0135
21;2;1 do 10 000 000;3;0.0141
21;3;1 do 10 000 000;3;0.0138
21;4;1 do 10 000 000;3;0.0134
21;5;1 do 10 000 000;3;0.0142
22;1;1 do 10;3;0.014
22;2;1 do 10;3;0.0138
22;3;1 do 10;3;0.0135
22;4;1 do 10;3;0.0131
22;5;1 do 10;3;0.0134
22;1;1 do 10 000;3;0.013
22;2;1 do 10 000;3;0.014
22;3;1 do 10 000;3;0.0134
22;4;1 do 10 000;3;0.0138
22;5;1 do 10 000;3;0.0134
22;1;1 do 10 000 000;3;0.0132
22;2;1 do 10 000 000;3;0.0132
22;3;1 do 10 000 000;3;0.0133
22;4;1 do 10 000 000;3;0.0141
22;5;1 do 10 000 000;3;0.0132
23;1;1 do 10;3;0.0137
23;2;1 do 10;3;0.0134
23;3;1 do 10;3;0.014
23;4;1 do 10;3;0.0131
23;5;1 do 10;3;0.0133
23;1;1 do 10 000;3;0.0134
23;2;1 do 10 000;3;0.0135
23;3;1 do 10 000;3;0.0139
23;4;1 do 10 000;3;0.016
23;5;1 do 10 000;3;0.0184
23;1;1 do 10 000 000;3;0.0137
23;2;1 do 10 000 000;3;0.0145
23;3;1 do 10 000 000;3;0.0137
23;4;1 do 10 000 000;3;0.0141
23;5;1 do 10 000 000;3;0.0136
24;1;1 do 10;3;0.0181
24;2;1 do 10;3;0.0153
24;3;1 do 10;3;0.014
24;4;1 do 10;3;0.0142
24;5;1 do 10;3;0.0161
24;1;1 do 10 000;3;0.0142
24;2;1 do 10 000;3;0.0144
24;3;1 do 10 000;3;0.0138
24;4;1 do 10 000;3;0.0141
24;5;1 do 10 000;3;0.0137
24;1;1 do 10 000 000;3;0.0142
24;2;1 do 10 000 000;3;0.0132
24;3;1 do 10 000 000;3;0.0133
24;4;1 do 10 000 000;3;0.0132
24;5;1 do 10 000 000;3;0.0134
25;1;1 do 10;3;0.0158
25;2;1 do 10;3;0.014
25;3;1 do 10;3;0.0133
25;4;1 do 10;3;0.0134
25;5;1 do 10;3;0.0141
25;1;1 do 10 000;3;0.0133
25;2;1 do 10 000;3;0.0135
25;3;1 do 10 000;3;0.0135
25;4;1 do 10 000;3;0.0137
25;5;1 do 10 000;3;0.0139
25;1;1 do 10 000 000;3;0.0133
25;2;1 do 10 000 000;3;0.0137
25;3;1 do 10 000 000;3;0.0134
25;4;1 do 10 000 000;3;0.0139
25;5;1 do 10 000 000;3;0.0135
26;1;1 do 10;3;0.027
26;2;1 do 10;3;0.0222
26;3;1 do 10;3;0.0144
26;4;1 do 10;3;0.0157
26;5;1 do 10;3;0.0149
26;1;1 do 10 000;3;0.0139
26;2;1 do 10 000;3;0.0155
26;3;1 do 10 000;3;0.0259
26;4;1 do 10 000;3;0.0148
26;5;1 do 10 000;3;0.0148
26;1;1 do 10 000 000;3;0.0154
