Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
23;1;1 do 10 000 000;3;0.0241
24;1;1 do 10;3;0.0205
24;1;1 do 10 000;3;0.0428
24;1;1 do 10 000 000;3;0.0262
25;1;1 do 10;3;0.0413
25;1;1 do 10 000;3;0.0287
25;1;1 do 10 000 000;3;0.0238
26;1;1 do 10;3;0.0336
26;1;1 do 10 000;3;0.0697
26;1;1 do 10 000 000;3;0.0269
27;1;1 do 10;3;0.0308
27;1;1 do 10 000;3;0.026
27;1;1 do 10 000 000;3;0.0286
28;1;1 do 10;3;0.0241
28;1;1 do 10 000;3;0.0284
28;1;1 do 10 000 000;3;0.0248
29;1;1 do 10;3;0.0218
29;1;1 do 10 000;3;0.0327
29;1;1 do 10 000 000;3;0.0428
30;1;1 do 10;3;0.0398
30;1;1 do 10 000;3;0.0691
30;1;1 do 10 000 000;3;0.0307
31;1;1 do 10;3;0.0392
31;1;1 do 10 000;3;0.0302
31;1;1 do 10 000 000;3;0.0184
32;1;1 do 10;3;0.0372
32;1;1 do 10 000;3;0.0311
32;1;1 do 10 000 000;3;0.0408
33;1;1 do 10;3;0.0356
33;1;1 do 10 000;3;0.0331
33;1;1 do 10 000 000;3;0.0327
34;1;1 do 10;3;0.0363
34;1;1 do 10 000;3;0.0259
34;1;1 do 10 000 000;3;0.016
35;1;1 do 10;3;0.0524
35;1;1 do 10 000;3;0.0281
35;1;1 do 10 000 000;3;0.0296
36;1;1 do 10;3;0.0397
36;1;1 do 10 000;3;0.0406
36;1;1 do 10 000 000;3;0.0315
37;1;1 do 10;3;0.0381
37;1;1 do 10 000;3;0.0524
37;1;1 do 10 000 000;3;0.0236
38;1;1 do 10;3;0.0198
38;1;1 do 10 000;3;0.0269
38;1;1 do 10 000 000;3;0.0252
39;1;1 do 10;3;0.0352
39;1;1 do 10 000;3;0.025
39;1;1 do 10 000 000;3;0.0273
40;1;1 do 10;3;0.0248
40;1;1 do 10 000;3;0.0274
40;1;1 do 10 000 000;3;0.0258
41;1;1 do 10;3;0.0372
41;1;1 do 10 000;3;0.0295
41;1;1 do 10 000 000;3;0.0294
42;1;1 do 10;3;0.0193
42;1;1 do 10 000;3;0.0247
42;1;1 do 10 000 000;3;0.0251
43;1;1 do 10;3;0.0343
43;1;1 do 10 000;3;0.0321
43;1;1 do 10 000 000;3;0.0252
44;1;1 do 10;3;0.0245
44;1;1 do 10 000;3;0.0285
44;1;1 do 10 000 000;3;0.0299
45;1;1 do 10;3;0.0211
45;1;1 do 10 000;3;0.0341
45;1;1 do 10 000 000;3;0.0173
46;1;1 do 10;3;0.0379
46;1;1 do 10 000;3;0.034
46;1;1 do 10 000 000;3;0.0297
47;1;1 do 10;3;0.0379
47;1;1 do 10 000;3;0.0355
47;1;1 do 10 000 000;3;0.0314
